Year,PropertyType,ZipCode,TotalYearlyEnergyUsage
2016,Mixed Use Property,02116,118591559.6
2016,Mixed Use Property,02118,12956297.5
2016,Mixed Use Property,02120,30005997.1
2016,Mixed Use Property,02128,15211693.0
2016,Mixed Use Property,02130,8954878.7
2016,Mixed Use Property,02163,17194648.8
2016,Mixed Use Property,02210,59474690.0
2016,Mixed Use Property,02215,43116029.1
2016,Movie Theater,02111,10672974.6
2016,Multifamily Housing,01234,2761909.0
2016,Multifamily Housing,02021,18660169.1
2016,Multifamily Housing,02108,49405703.9
2016,Multifamily Housing,02109,61677626.099999994
2016,Multifamily Housing,02110,187623255.89999998
2016,Multifamily Housing,02111,233898748.80000004
2016,Multifamily Housing,02113,16733796.4
2016,Multifamily Housing,02114,247011143.60000002
2016,Multifamily Housing,02115,294235713.5
2016,Multifamily Housing,02116,332695403.39999992
2016,Multifamily Housing,02118,164674277.00000003
2016,Multifamily Housing,02119,179814819.6
2016,Multifamily Housing,02120,128266720.60000001
2016,Multifamily Housing,02121,155296514.0
2016,Multifamily Housing,02122,3100849.2
2016,Multifamily Housing,02124,83270220.9
2016,Multifamily Housing,02125,66498553.9
2016,Multifamily Housing,02126,34371094.6
2016,Multifamily Housing,02127,79037068.300000012
2016,Multifamily Housing,02128,91039765.999999985
2016,Multifamily Housing,02129,132216965.19999997
2016,Multifamily Housing,02130,123239417.49999997
2016,Multifamily Housing,02131,69202156.1
2016,Multifamily Housing,02132,25897346.9
2016,Multifamily Housing,02134,70738213.7
2016,Multifamily Housing,02135,188593062.3
2016,Multifamily Housing,02136,31721749.1
2016,Multifamily Housing,02199,152814696.7
2016,Multifamily Housing,02210,195626581.39999998
2016,Multifamily Housing,02215,193907718.39999998
2016,Multifamily Housing,02446,12714.2
2016,Multifamily Housing,02467,19584319.9
2016,Multifamily Housing,02481,561676.3
2016,Multifamily Housing,21121,4335766.0
2016,Museum,02114,52754222.0
2016,Museum,02115,197469705.6
2016,Museum,02215,18586483.5
2016,Non-Refrigerated Warehouse,02118,1402670.4
2016,Non-Refrigerated Warehouse,02119,2251756.4
2016,Non-Refrigerated Warehouse,02122,421777.9
2016,Non-Refrigerated Warehouse,02125,62119.8
2016,Non-Refrigerated Warehouse,02126,1094581.1
2016,Non-Refrigerated Warehouse,02127,5933570.5
2016,Non-Refrigerated Warehouse,02128,4676967.6
2016,Non-Refrigerated Warehouse,02130,3305778.0999999996
2016,Non-Refrigerated Warehouse,02132,8370470.6
2016,Non-Refrigerated Warehouse,02135,1020521.1
2016,Non-Refrigerated Warehouse,02136,
2016,Non-Refrigerated Warehouse,02210,25946279.2
2016,Not Available,02110,34968493.4
2016,Not Available,02115,1236220.0
2016,Not Available,02116,
2016,Not Available,02118,2631236.9
2016,Not Available,02121,
2016,Not Available,02132,
2016,Not Available,02134,3644705.8
2016,Not Available,02135,4220179.5
2016,Not Available,02215,5279676.6
2016,Office,00210,5121591.5
2016,Office,02026,1564367.9
2016,Office,02108,6266831086.2000017
2016,Office,02109,437933123.90000004
2016,Office,02110,1041935403.2000002
2016,Office,02111,342849758.10000008
2016,Office,02114,102565244.20000002
2016,Office,02115,240332902.09999996
2016,Office,02116,828226917.10000014
2016,Office,02118,66391474.399999991
2016,Office,02119,39983722.2
2016,Office,02120,13330765.6
2016,Office,02121,5570991.3
2016,Office,02122,17467210.5
2016,Office,02124,13759922.1
2016,Office,02125,61950474.5
2016,Office,02126,330196.3
2016,Office,02127,35428724.9
2016,Office,02129,119610500.1
2016,Office,02131,214771.8
2016,Office,02134,19779173.4
2016,Office,02135,6257057.8999999994
2016,Office,02136,212027.7
2016,Office,02138,4225602.7
2016,Office,02144,13731964.6
2016,Office,02163,15254533.799999999
2016,Office,02199,292204394.1
2016,Office,02201,58247181.3
2016,Office,02203,73870328.0
2016,Office,02210,4453423323.8000011
2016,Office,02215,399074550.90000004
2016,Office,02222,
2016,Office,02446,4346529.4
2016,Other,01220,35109069.3
2016,Other,02108,20302075.1
2016,Other,02110,3924572.2
2016,Other,02111,5799963.5
2016,Other,02114,7443596.5
2016,Other,02115,9037499.9
2016,Other,02116,24212791.2
